,Unnamed: 0,facility_id_API,facility_type,location,related_facilities,status,facility_name,facility_num,field_name,field_num,county,coord,operator_name,operator_num
0,0,05-001-09983,WELL,ADAMS                               001SESE   7  1S    62W     6 , ,2017-01-08,BUCHHOLZ,38J-18HZ,WATTENBERG,90750,ADAMS,                           001SESE   7  1S    62W     6 ,KERR MCGEE OIL & GAS ONSHORE LP,47120
1,1,05-001-09732,WELL,ADAMS                               001NWNE   16 1S    65W     6 , ,2011-07-19,Amoco State,44-16,WATTENBERG,90750,ADAMS,                           001NWNE   16 1S    65W     6 ,PETROSHARE CORPORATION,10454
2,2,05-001-09814,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,6,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
3,3,05-001-09815,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,8,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
4,4,05-001-09816,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,9,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
5,5,05-001-09817,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,5,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
6,6,05-001-09818,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,3,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
7,7,05-001-09819,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,4,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
8,8,05-001-09820,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,2,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
9,9,05-001-09821,WELL,ADAMS                               001SWSE   12 1S    66W     6 , ,2014-09-20,DUCK CLUB,1,WATTENBERG,90750,ADAMS,                           001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
