,facility_id_API,facility_name_num,facility_type,field_name_num,location,operator_name_num,related_facilities,status
0,05-001-09983,BUCHHOLZ                           38J-18HZ       ,WELL,WATTENBERG                    90750,ADAMS                               001SESE   7  1S    62W     6 ,KERR MCGEE OIL & GAS ONSHORE LP                   47120, ,XX1/8/2017 
1,05-001-09732,Amoco State                        44-16          ,WELL,WATTENBERG                    90750,ADAMS                               001NWNE   16 1S    65W     6 ,PETROSHARE CORPORATION                            10454, ,XX7/19/2011 
2,05-001-09814,DUCK CLUB                          6              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
3,05-001-09815,DUCK CLUB                          8              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
4,05-001-09816,DUCK CLUB                          9              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
5,05-001-09817,DUCK CLUB                          5              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
6,05-001-09818,DUCK CLUB                          3              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
7,05-001-09819,DUCK CLUB                          4              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
8,05-001-09820,DUCK CLUB                          2              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
9,05-001-09821,DUCK CLUB                          1              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
10,05-001-09822,DUCK CLUB                          7              ,WELL,WATTENBERG                    90750,ADAMS                               001SWSE   12 1S    66W     6 ,EXTRACTION OIL & GAS INC                          10459, ,XX9/20/2014 
