"Received
Posted","Operator Name
Number",Operator Contact,"Approved Date
API No.
(Scout Card Link)",Type of Permit,Well Name/Number,Objective Formation,Proposed TD,Well Location,Footage Call,Field,County
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45084-00",DR ,"Schmier
32H-232 ",NIOBRARA ,16739,SWSW 32 5N 64W,704 FSL 347 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45081-00",DR ,"Schmier
32H-302 ",NIOBRARA ,17054,SWSW 32 5N 64W,719 FSL 347 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45082-00",DR ,"Schmier
32i-302 ",NIOBRARA ,16917,SWSW 32 5N 64W,659 FSL 347 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45083-00",DR ,"Schmier
32i-212 ",NIOBRARA ,16744,SWSW 32 5N 64W,674 FSL 347 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45085-00",DR ,"Schmier
32i-312 ",NIOBRARA ,16800,SWSW 32 5N 64W,689 FSL 347 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45080-00",DR ,"Pronghorn
14-8-5MRLNB ",NIOBRARA ,11387,SWSW 8 5N 61W,407 FSL 1295 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45066-00",DR ,"Pronghorn
K-O-17HNB ",NIOBRARA ,10966,SWSW 8 5N 61W,407 FSL 1355 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45078-00",DR ,"Bath-Sch
32G-332 ",NIOBRARA ,17042,NWSW 32 5N 64W,2320 FSL 379 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45072-00",DR ,"Bath-Sch
32G-432 ",CODELL ,17163,NWSW 32 5N 64W,2350 FSL 380 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45076-00",DR ,"Bath-Sch
32H-202 ",NIOBRARA ,17034,NWSW 32 5N 64W,2275 FSL 379 FWL,"WATTENBERG
90750 ",WELD 
